종목명,종목코드,TP전략,SL전략,TP전략내용,SL전략내용,백테스트시작일,백테스트종료일,수익률,MDD,승률,거래횟수,품질점수,백테스트신뢰도점수,백테스트신뢰도,백테스트검증해석,백테스트주의메모,실전비용반영,매수비용률,매도비용률,슬리피지률
대한항공,003490,[단기스윙],[버티기형],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[대표님룰],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[대표님룰],[정석방어],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[대표님룰],[변동성허용],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[대표님룰],[버티기형],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[중기추세],[칼손절],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[중기추세],[정석방어],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[중기추세],[변동성허용],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[중기추세],[버티기형],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[수익극대화],[칼손절],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[수익극대화],[정석방어],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[수익극대화],[변동성허용],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
대한항공,003490,[수익극대화],[버티기형],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[초단타],[칼손절],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[초단타],[정석방어],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[초단타],[변동성허용],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[초단타],[버티기형],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[단기스윙],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[단기스윙],[정석방어],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[단기스윙],[변동성허용],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[단기스윙],[버티기형],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[대표님룰],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[대표님룰],[정석방어],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[대표님룰],[변동성허용],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[대표님룰],[버티기형],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[중기추세],[칼손절],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[중기추세],[정석방어],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[중기추세],[변동성허용],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[중기추세],[버티기형],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[수익극대화],[칼손절],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[수익극대화],[정석방어],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[수익극대화],[변동성허용],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
TIGER 2차전지소재Fn,462010,[수익극대화],[버티기형],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[초단타],[칼손절],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[초단타],[정석방어],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[초단타],[변동성허용],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[초단타],[버티기형],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[단기스윙],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[단기스윙],[정석방어],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[단기스윙],[변동성허용],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[단기스윙],[버티기형],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[대표님룰],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[대표님룰],[정석방어],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[대표님룰],[변동성허용],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[대표님룰],[버티기형],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[중기추세],[칼손절],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[중기추세],[정석방어],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[중기추세],[변동성허용],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[중기추세],[버티기형],+10%▶50% 익절 / +20%▶30% 익절 / +30%▶20% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[수익극대화],[칼손절],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[수익극대화],[정석방어],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[수익극대화],[변동성허용],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
KODEX 2차전지산업,305720,[수익극대화],[버티기형],+10%▶40% 익절 / +20%▶30% 익절 / +40%▶30% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[초단타],[칼손절],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[초단타],[정석방어],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[초단타],[변동성허용],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[초단타],[버티기형],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[단기스윙],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[단기스윙],[정석방어],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[단기스윙],[변동성허용],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[단기스윙],[버티기형],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
SOL 반도체전공정,475300,[대표님룰],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-16,0,0,0,0,0,32,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수 / 승률 낮음,예,0.0005,0.0025,0.0007
